,Tweet,Type
0,Good Morning Love   <username> ,0.0
1, <username>   <username>  RIP TO HEROES,1.0
2,Havent been following the news but I understand  <hashtag>  was doing the dumbest things,0.0
3, <link>  What to do with paper scissors and glue  <link>   <hashtag>   <hashtag> ,0.0
4, <hashtag>   Mahatma Gandhi made a brief visit to lecture in  <hashtag>  on 17 October 1931  <username> ,0.0
5, <hashtag>  Samantha Bee Tries to ATTACK Trump Instead Insults Millions of Americans  <link>   <hashtag>   <link> ,1.0
6,please dont talk about me like that im only a little tipsy,0.0
7, <link> ,0.0
8,Banking on Brexit is it time to Invest in the UK by Colin Ward  <username>   <link>   <hashtag>   <hashtag> ,1.0
9,They are serving and protecting 5WordRegrets  <link> ,1.0
10,Beauty is not in the face,1.0
11,Dancing for your pleasure,1.0
12,Americas Most Forgotten Families Speak Out We Want Trump  <link>   <link> ,1.0
13, <hashtag>  its better to be alone than in bad company,1.0
14, <hashtag>  I tried to text Mcdonalds for a McChicken to go,1.0
15, <username>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag> ,1.0
16,Your Social Calendar in Chicago Bohemian House Brunch Stout Brunch MMLa Fleur Lust Lis   <link> ,0.0
17,I keep up with the Kardashians because  <hashtag> ,1.0
18,Lincoln County man shoots deputy  <link>   <link> ,1.0
19,RT  <username>  A WHITE chili beans commercial during BLACK history month  <hashtag> ,1.0
20, <hashtag>  make sure im on everyones gift giving list,1.0
21,Rogelio is the best thing on the show right now  <hashtag> ,0.0
22,Need I remind everyone that the first lines you learn to say as a rapper coming up are I am the best,0.0
23,Watch  <hashtag>  Goes  <hashtag>  For Their Comeback MV <link>   <link> ,0.0
24,Success Profile Priestley M Johnson Program Associate at Walkers Legacy Foundation  <link> ,1.0
25,Just got molested in the hall  Emily was grabbing my booty then gonna say Ill lift your whole dress up ,0.0
26,Southwest errs on the side of caution and Trump Darcy cartoon Makhzoomi is asking for an apology from Southwes   <hashtag>   <hashtag> ,1.0
27,Remember no effort that we make to attain something beautiful is ever lost Helen Keller  <link>   <hashtag>   <hashtag> ,0.0
28,Ron Bakers Thoughts On WSU to the American  <link>   <link> ,1.0
29, <hashtag>  Minister of defence SPoltorak We dont plan to establish  <hashtag>  military bases on our territory  <link> ,1.0
30,Say a prayer for the family of  <hashtag>  a who was MURDERED BY  <hashtag>  IN  <hashtag>  in front Her Children The Fight continues  <link> ,1.0
31,I can apply for Manchester but have to cancel my offer from Huddersfield and hope I get in,0.0
32,The white media praises  <hashtag>  today but some were comparing him to Hitler back in the day  <hashtag>   <link> ,1.0
33,Illinois Legislature Rejects Bill That Would Recognize Obamas Birthday as State Holiday   <link>   <link> ,1.0
34, <hashtag>  BREAKING Its Happening  <link>   <link> ,1.0
35, <hashtag> 3Words sex and candy,1.0
36,Please share the PNR number your location and contact number so that we can assist you  <username>   Also call 138,0.0
37,A little post from the archives  Leave my boobs alone Jamie  <link> ,0.0
38,From Prisoner to Professor Felon to Teach at Georgetown Law  <link>   <link> ,1.0
39,mom what did you learn in APUSH today <link> ,0.0
40,Dont take people for granted,0.0
41,RT juliebaker12 Crickets  <link> ,1.0
42,Weekend traffic to be nightmarish for I20 I75 drivers  <link> ,1.0
43,Donald Trumps Dreamer approvals rile conservative base  <link>   <link> ,1.0
44,IM SCREAMING   <link> ,0.0
45,Almost missed my stop falling asleep on the bus,0.0
46,How to Reach More People on Pinterest  great ideas to help you pin new content on  <hashtag>   <link>   <hashtag> ,0.0
47,Olympic Committee starts antidoping proceedings against 31 athletes  <link> ,0.0
48,1111 reunite with Wes and Jonah,0.0
49,Retweet if youre sick of fake politicians saying Ill pray for you when you want ACTION   <hashtag>   <hashtag>   <link> ,1.0
50,Run my dear from anything that may not strengthen your precious budding wings Hafiz,1.0
51,Bob Dole who served in World War II  and is currently in a wheelchair is getting the Congressional Gold  Medal from  <username>   a draft dodger who makes fun of peoples disabilities,1.0
52, <hashtag>  is a journey best shared with the support of family and friends Challenges strengthen own the challenge  <link> ,1.0
